finalidad,funcion,monto
Administración Gubernamental,Legislativa,3172488079
Administración Gubernamental,Judicial,9576466312
Administración Gubernamental,Dirección Superior Ejecutiva,4231411811
Administración Gubernamental,Relaciones Exteriores,2686331486
Administración Gubernamental,Relaciones Interiores,4052404727
Administración Gubernamental,Administración Fiscal,2687257886
Administración Gubernamental,Control de la Gestión Pública,659994412
Administración Gubernamental,Información y Estadísticas Básicas,459549679
Servicios de Defensa y Seguridad,Defensa,14170041402
Servicios de Defensa y Seguridad,Seguridad Interior,16290278761
Servicios de Defensa y Seguridad,Sistema Penal,3004550464
Servicios de Defensa y Seguridad,Inteligencia,1438985055
Servicios Sociales,Salud,24983040627
Servicios Sociales,Promoción y Asistencia Social,12389024748
Servicios Sociales,Seguridad Social,2.81887E+11
Servicios Sociales,Educación y Cultura,47780450391
Servicios Sociales,Ciencia y Técnica,10245885539
Servicios Sociales,Trabajo,3952857914
Servicios Sociales,Vivienda y Urbanismo,5873985555
Servicios Sociales,Agua Potable y Alcantarillado,8494719441
Servicios Económicos,"Energía, Combustible y Minería",43269779637
Servicios Económicos,Comunicaciones,6379584938
Servicios Económicos,Transporte,41428978873
Servicios Económicos,Ecología y Medio Ambiente,2345314698
Servicios Económicos,Agricultura,4176212361
Servicios Económicos,Industria,2068498679
Servicios Económicos,"Comercio, Turismo y Otros Servicios",2637146316
Servicios Económicos,Seguros y Finanzas,267008753
Deuda Pública,Servicios de la Deuda Pública,55606552500
